"","DUST_JKT_PP1_0001","DUST_IDM_PP2_000P","DUST_IDM_PP3_000P","DUST_CLP_PP4_000P","DUST_SBY_BP1_0027","DUST_SBY_PP5_000P","DUST_BYW_PP6_000P"
"Sphyrna lewini",0,1,1,1,1,1,1
"Carcharhinus falciformis",0,1,1,1,1,1,1
"Sphyrna zygaena",0,1,1,1,1,1,1
"Carcharhinus sorrah",0,1,1,1,0,1,1
"Sphyrna mokarran",0,1,1,1,0,1,1
"Stegostoma fasciatum",0,0,1,0,0,0,0
"Glaucostegus typus",0,1,1,1,0,0,0
"Galeocerdo cuvier",1,1,1,1,0,1,1
"Carcharhinus macloti",0,1,1,1,0,1,1
"Carcharhinus amblyrhynchoides",1,1,1,1,1,1,1
"Carcharhinus longimanus",1,1,1,1,1,1,1
"Alopias pelagicus",0,0,1,1,0,0,1
"Prionace glauca",1,1,1,1,0,1,1
"Rhynchobatus sp.",0,1,1,1,0,0,0
"Alopias superciliosus",0,1,1,1,1,1,1
"Rhizoprionodon oligolinx",1,1,1,1,1,1,1
"Rhina ancylostoma",0,1,1,1,1,1,1
"Hemigaleus australiensis",0,1,1,0,0,0,0
"Rhynchobatus springeri",0,1,1,1,0,0,0
"Isurus oxyrinchus",0,1,1,1,1,1,1
"Carcharhinus melanopterus",0,1,1,1,1,1,1
"Carcharhinus sp.",0,1,1,1,0,1,1
"Himantura gerrardi",0,1,1,1,0,0,1
"Hexanchus griseus",0,1,1,1,0,0,1
"Eusphyra blochii",0,1,1,1,0,1,0
"Mobula thurstoni",0,1,1,1,0,0,1
"Himantura hortlei",0,1,1,1,0,0,1
"Mustelus griseus",0,1,1,1,0,0,1
"Himantura sp.",0,1,1,1,0,0,0
"Carcharhinus tjutjot",0,1,1,1,0,0,0
"Mobula sp.",0,0,1,1,0,0,1
"Isurus paucus",0,1,1,1,1,1,1
"Carcharhinus plumbeus",0,0,1,1,1,1,1
"Carcharhinus amboinensis",0,1,1,1,0,1,1
"Mustelus manazo",0,0,0,1,0,1,1
"Gymnura poecilura",0,0,1,0,1,0,1
"Chiloscyllium punctatum",0,1,1,0,0,0,0
"Himantura granulata",0,0,0,1,0,0,0
"Rhinobatinae",0,0,1,1,0,0,0
"Dasyatis zugei",0,1,0,1,0,0,0
"Pastinachus atrus",0,1,0,1,0,1,0
"Loxodon macrorhinus",0,1,1,0,0,0,0
"Himantura leoparda",0,0,0,1,0,0,0
"Hemigaleus microstoma",0,1,1,0,0,0,0
"Manta birostris",0,1,1,1,0,0,1
"Mobula tarapacana",0,1,1,1,0,0,1
"Squalus hemipinnis",1,0,0,1,0,0,1
"Dasyatis thetidis",1,0,0,1,0,0,0
"Carcharhinidae",0,1,1,1,0,0,1
"Rhinoptera sp.",0,1,1,1,0,0,0
"Hemipristis elongata",0,1,1,1,1,1,0
"Neotrygon kuhlii",0,1,1,1,0,0,1
"Himantura jenkinsii",0,0,0,1,0,0,0
"Scoliodon macrorhynchos",0,1,1,0,0,0,0
"Anoxypristis cuspidata",1,0,0,0,0,1,0
"Carcharias taurus",0,0,0,1,0,0,0
"Chiloscyllium plagiosum",0,0,1,0,0,0,0
"Carcharhinus albimarginatus",0,0,0,0,0,1,0
"Lamiopsis tephrodes",0,1,1,0,0,0,0
"Carcharhinus leucas",0,0,0,1,0,0,0
"Glyphis glyphis",0,0,0,0,0,1,0
